"Nº reporte";"Url del reporte";"Usuario";"Grupo";"Fecha del evento";"Hora del evento";"Precisión";"Fecha introducción";"Tipo de fenómeno";"Fiabilidad";"Latitud";"Longitud";"Altitud";"Provincia";"Localidad";"Dirección";"Cod_postal";"Detalles lugar";"Descripción del suceso";"¿Es multirreporte?";"¿Es destacado?";"Daños en bienes";"Daños en campo";"Total daños";"Nº heridos";"Nº muertos";"Fuentes de la información";"Tipo de vórtice";"Nº de vórtices";"¿Otros fenómenos?";"Fujita";"Torro";"Vel.viento Km/h";"¿Nube embudo?";"Nº vórtices en tuba";"Duración";"Otros meteoros";"Longitud trayectoria";"Anchura med. trayectoria";"Anchura máx trayectoria";"Dirección de avance";"Distancia tuba-suelo";"Aumento temperatura";"Tamaño máx. granizo";"Tamaño med. granizo";"Peso máx. granizo";"Espesor capa granizo";"Aspecto del granizo";"Precipitación total";"Hora inicio";"Máx. prec. 5min";"Máx. prec. 10min";"Máx. prec. 15min";"Máx. prec. 30min";"Máx. prec. 1h";"Máx. prec. 3h";"Máx. prec. 24h";"¿Tormenta?";"Tipo de precipitación";"Diametro promedio granizo";"Nieve acumulada";"Equivalencia en agua";"Nieve acumulada en máx. intensidad";"Equivalencia en agua en máx. intensidad";"Duración pico intensidad";"¿Hubo tormenta?";"Tipo de avalancha";"Tipo de flujo";"Tipo de nieve";"Probabilidad de aludes";"Causa de avalancha";"Altitud inicio";"Diferencia altitud inicio-fin";"Cobertura nubosa";"¿Sabe temperatura exacta?";"Temperatura exacta";"Temperatura aproximada";"Velocidad viento";"Dirección viento";"Espesor hielo";"Tipo fenómeno marítimo";"Comentario fen. marítimo"
"2154";"https://sinobas.aemet.es/index.php?pag=detal&rep=2154";"egarciat";"AEMET";"2025-08-26";"17:00";"+/- 1 hora";"2025-09-24";"Fenómenos marítimos raros";"Alta";"36.182";"-6.015";"0";"Cádiz";"Los Caños de Meca";"5XJP+R2 Los Caños de Meca, España";"11159";"El fuerte oleaje, unido a las mareas vivas, se produjo en prácticamente toda la costa gaditana atlántica, en las playas de Chipiona, Rota, El Puerto de Santa María, Valdelagrana, Cádiz, Camposoto, Conil, El Palmar, Zahora, Caños, Barbate, Atlanterra. El mayor impacto se produjo en Caños.";"El mar de fondo de la tormenta extratropical Erin llega a las costas gaditanas, provocando en las playas un fuerte oleaje de gran período, que unido a la pleamar de una marea viva, genera corrientes de resaca, que hacen peligroso el baño en las playas. Se izan banderas rojas en prácticamaente todas las playas.";"NO";"NO";"Pasarelas, contenedores y un chiringuito arrastrados por la corriente.";"Playas sin arena.";"";"1";"0";"Información en los medios, Información en sitios webs, Fotos o videos del evento, Fotos o videos de los daños";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Oleaje de rompiente";"El 26 de agosto de 2025, el ex-huracán Erin, ya convertido en profunda tormenta extratropical, se sitúa estacionario al noroeste de las Islas Británicas. Sus fuertes vientos generan grandes olas que se propagan a gran distancia, llegando como mar de fondo a las costas de Cádiz. Al tocar fondo en las playas, las olas se amplifican y rompen, generando fuertes corrientes de resaca, con peligro para los bañistas. Se izan banderas rojas en casi todas las playas, prohibiendo el baño.
El efecto del oleaje se une a partir de mediodía al de la pleamar de una marea viva, dejando numerosas playas sin arena. Además es agosto, y la afluencia de público en las playas es grande. En varias playas, los servicios de Salvamento y Socorrismo deben rescatar a varios bañistas con problemas. En otras, se decide retirar las pasarelas de madera, para evitar que las corrientes se las lleven, con el peligro que esto generaría. En la playa de Caños, el oleaje y las corrientes se llevan una pasarela y un chiringuito en la playa, sin víctimas ni heridos al haberse evacuado previamente.
Las consecuencias del oleaje no han sido tanto por la altura de las olas, como por su período (intervalo de tiempo entre 2 crestas), de hasta 16 segundos, que daba a cada ola una mayor potencia de arrastre. La configuración natural de las playas también ha contribuido a aumentar los efectos conjuntos de oleaje y mareas vivas, amplificando la energía de las olas en las rompientes."
"2155";"https://sinobas.aemet.es/index.php?pag=detal&rep=2155";"jprodriguezg";"";"2025-08-22";"11:45";"+/- 1 minuto";"2025-09-25";"Tornado / Tromba Marina";"Alta";"39.447";"2.483";"-29";"Illes Balears";"El Toro";"CFWM+R3 El Toro, España";"07180";"";"Manga marina observada por webcam en las proximidades de dos zonas con chubascos.";"NO";"NO";"";"";"";"";"";"Fotos o videos del evento";"Tromba Marina";"1";"";"SD";"SD";"";"Si";"1";"SD";"Lluvia fuerte";"SD";"SD";"SD";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2156";"https://sinobas.aemet.es/index.php?pag=detal&rep=2156";"joancarcal";"";"2025-09-21";"16:50";"+/- 5 minutos";"2025-09-26";"Reventón / Frente de racha";"Alta";"38.873";"-0.759";"340";"Valencia";"Moixent";"C. la Bastida, 22, 46640 Moixent, Valencia, España";"46640";"Reventón húmedo en Moixent, que se desplazó por la comarca de la Costera y la Vall de Albaida. La estación de avament Moixent-la Foia (https://www.avamet.org/mxo_i.php?id=c23m170e04) recogió 30mm y rachas de 60km/h. La estación de inforatge ubicada en el centro de la localidad (https://www.meteoclimatic.net/perfil/ESPVA4600000046640C?screen_width=1920)  registró racha superior a 90 km/h. La temperatura descendió de 31ºC a los 16ºC en cuestión de minutos.";"Alrededor de las 16.40 locales se levantó un viento muy fuerte, y en apenas unos minutos llegó la precipitación de intensidad torrencial y el granizo, con aparato eléctrico. Se adjunta videos y fotos de mi autoría.";"NO";"NO";"levantamiento de tejas en puente, puerta arrancada";"Cultivos de olivo afectados por viento y pedrisco, caída de árboles";"";"";"";"Testigo del evento, Fotos o videos del evento, Fotos o videos de los daños";"";"";"";"SD";"T1: 87-115 km/h";"92";"";"";"15 minutos";"Lluvia fuerte, Granizo mediano, Polvo o arena levantado por el viento";"Entre 9 y 10 km";"SD";"SD";"suroeste a noreste";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2157";"https://sinobas.aemet.es/index.php?pag=detal&rep=2157";"ncho26_";"";"2025-09-13";"12:55";"+/- 3 horas";"2025-09-29";"Reventón / Frente de racha";"No Validado";"40.474";"-3.869";"732";"Madrid";"Majadahonda";"C. Perú, 25, 28220 Majadahonda, Madrid, España";"28220";"";"Emergencias ha recibido esta madrugada numerosas llamadas, gestionándose un total de 183 expedientes en toda la Comunidad de Madrid. En concreto, se han realizado 71 intervenciones por caídas de ramas, árboles y cornisas, uno muy aparatoso en Pozuelo de Alarcón.+";"NO";"NO";"";"";"";"";"";"Testigo del evento, Información en sitios webs";"";"";"Vórtice de racha";"menor que EF0";"T0: 61-86 km/h";"80";"";"";"15 minutos";"Lluvia fuerte, Tormenta";"SD";"SD";"SD";"noreste a suroeste";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2159";"https://sinobas.aemet.es/index.php?pag=detal&rep=2159";"LeoDelgado";"AEMET";"2025-09-22";"18:00";"+/- 1 hora";"2025-09-30";"Tuba";"Alta";"43.482";"-3.833";"7";"Cantabria";"Santander";"Bo. Monte-Corbanera, 56D, 39012 Santander, Cantabria, España";"39012";"";"Tuba ocurrida bajo un cumulonimbo cerca de la estación Santander CMT. Fue un día de tormentas en el que se registraron lluvias intensas y persistentes en dicha estación.";"NO";"NO";"";"";"";"";"";"Testigo del evento";"";"1";"";"";"";"";"";"";"SD";"Lluvia fuerte, Tormenta";"";"";"";"";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2160";"https://sinobas.aemet.es/index.php?pag=detal&rep=2160";"LeoDelgado";"AEMET";"2025-09-23";"16:10";"+/- 5 minutos";"2025-09-30";"Tornado / Tromba Marina";"Alta";"43.486";"-3.830";"8";"Cantabria";"Santander";"C. Corbanera, 56K, 39012 Santander, Cantabria, España";"39012";"";"Tromba marina en la costa norte de Santander vista desde Ojaiz.";"NO";"NO";"";"";"";"";"";"Testigo del evento";"Tromba Marina";"1";"";"SD";"SD";"";"Si";"1";"SD";"Sin Precipitación";"SD";"SD";"SD";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2161";"https://sinobas.aemet.es/index.php?pag=detal&rep=2161";"CarlesP";"";"2025-08-28";"15:00";"+/- 15 minutos";"2025-10-17";"Tornado / Tromba Marina";"Alta";"41.292";"2.088";"2";"Barcelona";"El Prat de Llobregat";"73RQ+V2 El Prat de Llobregat, España";"08820";"";"Tromba marina observada desde el Aeropuerto del Prat";"NO";"NO";"";"";"";"";"";"Fotos o videos del evento";"Tromba Marina";"1";"";"SD";"SD";"";"Si";"1";"SD";"";"SD";"SD";"SD";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2162";"https://sinobas.aemet.es/index.php?pag=detal&rep=2162";"Nhanha";"";"2025-10-17";"18:50";"+/- 5 minutos";"2025-10-18";"Tornado / Tromba Marina";"Alta";"41.253";"1.906";"0";"Barcelona";"Garraf";"Carrer Mirador del Port, 1, 08871 Garraf, Barcelona, España";"08871";"Se formó frente a la Playa de las Casetas de Garraf, avanzando hacia el SO";"Se formó frente a la Playa de la Carretas de Garraf, avanzando hacia el SO frente al acantilado, y deshaciéndose antes de llegar al espigón del puerto.";"NO";"NO";"";"";"";"";"";"Testigo del evento, Fotos o videos del evento";"Tornado";"1";"";"SD";"SD";"";"Si";"1";"4 minutos";"Tormenta";"Menor de 0,5 km";"SD";"SD";"noreste a suroeste";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2163";"https://sinobas.aemet.es/index.php?pag=detal&rep=2163";"icampoo";"AEMET";"2025-09-21";"15:30";"+/- 5 minutos";"2025-10-20";"Precipitación Súbita Torrencial";"Alta";"41.595";"1.840";"718";"Barcelona";"Monestir de Montserrat";"Monestir de Montserrat, 08199 Monestir de Montserrat, Barcelona, España";"08199";"Monistrol de Montserrat (el Bages -Barcelona-), en el entorno de la Muntanya de Montserrat, próximo al monasterio.";"Condiciones de inestabilidad acusada en el tercio E peninsular durante la tarde, con convección organizada, especialmente en Cataluña, con chubascos muy fuertes/torrenciales y persistentes acompañados de abundante aparato eléctrico (efecto tren convectivo) en el prelitoral de Barcelona";"NO";"NO";"";"Daños en carreteras locales y campos de cultivo.";"";"";"";"Información en los medios, Información en sitios webs, Fotos o videos del evento, Fotos o videos de los daños";"";"";"";"";"";"";"";"";"60 minutos";"";"";"";"";"";"";"";"";"";"";"";"";"100";"14:20";"7";"14";"18";"35";"63";"";"116";"Si";"Sólo lluvia";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2164";"https://sinobas.aemet.es/index.php?pag=detal&rep=2164";"jsanambrosiob";"AEMET";"2025-08-27";"17:30";"+/- 15 minutos";"2025-10-24";"Granizada Singular";"Alta";"41.330";"-1.216";"607";"Zaragoza";"Cariñena";"8QJM+3H Cariñena, España";"50400";"en la poblaciçón de Cariñena y otras localidades cercanas.";"Durante la tarde se produjeron tormentas que se iban desplazando de W a E, dejaron en la zona granizo de gran tamaño así como precipitación de gran intensidad que causaron inundaciones. Afectaron a Cariñena y a otras poblaciones cercanas.";"NO";"NO";"Se desconoce";"Se desconoce";"";"";"";"Información en los medios";"";"";"";"";"";"";"";"";"SD";"";"";"";"";"";"";"";"SD";"Entre 5 y 6";"SD";"SD";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2165";"https://sinobas.aemet.es/index.php?pag=detal&rep=2165";"CarlesP";"";"2025-10-09";"09:05";"+/- 1 minuto";"2025-10-27";"Tornado / Tromba Marina";"Alta";"41.321";"2.106";"3";"Barcelona";"El Prat de Llobregat";"84C4+78 El Prat de Llobregat, España";"08820";"";"Tromba marina observada desde el Prat de Llobregat";"NO";"NO";"";"";"";"";"";"Fotos o videos del evento";"Tromba Marina";"1";"";"SD";"SD";"";"Si";"1";"SD";"";"SD";"SD";"SD";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2166";"https://sinobas.aemet.es/index.php?pag=detal&rep=2166";"ricardo_sanz";"AEMET";"2025-10-25";"10:10";"+/- 5 minutos";"2025-10-31";"Tuba";"Alta";"28.399";"-16.294";"-40";"Santa Cruz de Tenerife";"Bocacangrejo";"9PX4+PC Bocacangrejo, España";"38190";"A unos 3 km al este del puerto de Radazul.";"En el seno de un cúmulo de cierto desarrollo vertical que se desplazaba hacia el noreste, pegado a la costa. Estuvieron amagando durante al menos una hora, llegando a tocar ligeramente la superficie del agua.";"NO";"NO";"";"";"";"";"";"Testigo del evento";"";"3";"";"";"";"";"";"";"60 minutos";"";"";"";"";"";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2168";"https://sinobas.aemet.es/index.php?pag=detal&rep=2168";"cadizmeteo";"";"2025-11-05";"16:10";"+/- 5 minutos";"2025-11-05";"Granizada Singular";"Alta";"36.719";"-5.935";"78";"Cádiz";"Jédula";"P398+H5 Jédula, España";"11620";"Granizada muy significativa, con granizo de gran tamaño nunca visto en nuestra provincia";"Una posible súper célula que entró desde Cádiz dirección el puerto Jerez con algunas inundaciones en el Portal y finalmente granizada en jedula";"NO";"NO";"Coches sobre todo";"";"";"";"";"Informado por un testigo del evento";"";"";"";"";"";"";"";"";"10 minutos";"";"";"";"";"";"";"";"Entre 5 y 6";"Entre 4 y 5";"40";"4";"Puntiagudo";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2169";"https://sinobas.aemet.es/index.php?pag=detal&rep=2169";"jprodriguezg";"";"2025-11-17";"16:00";"+/- 3 horas";"2025-11-18";"Tornado / Tromba Marina";"Alta";"40.014";"4.219";"0";"Illes Balears";"Puerto Addaya";"2679+HG Puerto Addaya, España";"07740";"Varias observaciones desde Port d'Addaia, Na Macaret, Cala Tirant y Arenal d'en Castell";"Varias trombas marinas en la zona. Una fotografía capta 5 vórtices simultáneos.";"NO";"NO";"";"";"";"";"";"Fotos o videos del evento";"Tromba Marina";"1";"";"SD";"SD";"";"Si";"4";"SD";"Lluvia fuerte";"SD";"SD";"SD";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2170";"https://sinobas.aemet.es/index.php?pag=detal&rep=2170";"jprodriguezg";"";"2025-11-17";"16:00";"+/- 3 horas";"2025-11-18";"Tornado / Tromba Marina";"Media";"39.951";"4.286";"0";"Illes Balears";"Es Grau";"X72P+H6 Es Grau, España";"07701";"";"Manga marina que ha sido detectada gracias a una fotografía.";"NO";"NO";"";"";"";"";"";"Fotos o videos del evento";"Tromba Marina";"1";"";"SD";"SD";"";"Si";"1";"SD";"Lluvia fuerte";"SD";"SD";"SD";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2171";"https://sinobas.aemet.es/index.php?pag=detal&rep=2171";"egarciat";"AEMET";"2025-10-29";"09:30";"+/- 15 minutos";"2025-11-18";"Tornado / Tromba Marina";"Alta";"37.375";"-6.970";"26";"Huelva";"Gibraleón";"Pl. España, 7, 21500 Gibraleón, Huelva, España";"21500";"El 29 de octubre de 2025, a primeras horas de la mañana se estaba desarrollando un Sistema Convectivo de Mesoscala en el sur de Portugal, extendiéndose hacia el este, que generaba fuertes chubascos, tormentas y rachas de viento en toda la zona del Golfo de Cádiz. En concreto, en Gibraleón (Huelva),  hacia las 9:30 h se produjo un tornado que dejó un muerto y daños de consideración en árboles, antenas, torres eléctricas, muros y tejados.";"Durante la mañana del 29 de octubre de 2025 se estaba formando, al sur de Portugal, un Sistema Convectivo de Mesoscala que avanzaba hacia el este. La situación (vaguada, con embolsamiento de aire frío en altura, una baja en superficie con frente cálido asociado, inestabilidad térmica y dinámica, gran cizalladura vertical, sobre todo direccional, con formación de células convectivas organizadas) era muy favorable a la formación de tornados mesociclónicos en la zona del Golfo de Cádiz. En las imágenes de satélite se aprecia el gran desarrollo de estas células, y en las de radar, una alta reflectividad, indicativo de la intensidad de las precipitaciones, que iban acompañadas de tormentas, como indicaban los registros de rayos a esa hora. Se debió producir un reventón húmedo, o una línea de turbonada muy activa, pero que no explicarían los daños más graves reportados. A esa hora se debió formar en las cercanías de Gibraleón un vórtice tornádico de fuerza EF2 o quizá algo más, responsable de todos esos daños.";"NO";"NO";"Antenas y torres eléctricas colapsadas, cables rotos, muros derribados, tejados de chapa volados, tejas dañadas, vigas retorcidas, coches dañados.";"Árboles derribados y tronchados.";"";"";"1";"Información en los medios, Información en sitios webs, Fotos o videos del evento, Fotos o videos de los daños";"Tornado";"1";"";"EF2: 179-218 km/h";"SD";"";"No";"1";"SD";"Lluvia fuerte, Tormenta";"Entre 2 y 3 km";"400 metros";"500 metros";"suroeste a noreste";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2172";"https://sinobas.aemet.es/index.php?pag=detal&rep=2172";"egarciat";"AEMET";"2025-10-29";"09:00";"+/- 15 minutos";"2025-11-19";"Precipitación Súbita Torrencial";"Alta";"37.213";"-7.404";"4";"Huelva";"Ayamonte";"6H7W+9F Ayamonte, España";"21400";"Durante la mañana del 20 de octubre de 2025 se estaba formando, al sur de Portugal, un Sistema Convectivo de Mesoscala que avanzaba hacia el este. La situación meteorológica (vaguada, con embolsamiento de aire frío en altura, una baja en superficie con frente cálido asociado, inestabilidad térmica y dinámica, y gran cizalladura vertical, sobre todo direccional) era muy favorable a la formación de células convectivas organizadas en la zona del Golfo de Cádiz. En las imágenes de satélite se aprecia el gran desarrollo de estas células, y en las de radar, una alta reflectividad, indicativo de la intensidad de las precipitaciones, que iban acompañadas de tormentas, como indicaban los registros de rayos. En Ayamonte comenzó a llover de madrugada, pero hacia las 9 h los chubascos se intensificaron, llegando a registrarse 60,5 mm  en 3 horas, y cerca de 60 mm en 1 hora, con intensidades puntuales de precipitación de 115 mm/h, que produjeron numerosas inundaciones.";"Un Sistema Convectivo de Mesoscala se había formado al sur de Portugal de madrugada, y mientras se desplazaba hacia el este, se iba desarrollando y realimentando, dejando a su paso vientos de componente sur muy fuertes, chubascos muy intensos y persistentes, y tormentas. En concreto, en Ayamonte, empezó a llover de madrugada, pero hacia las 9 h descargó un chubasco muy intenso durante unos 45 minutos, que produjo numerosas inundaciones.";"NO";"NO";"inundaciones";"inundaciones";"";"";"";"Información en los medios, Información en sitios webs, Fotos o videos del evento, Fotos o videos de los daños";"";"";"";"";"";"";"";"";"45 minutos";"";"";"";"";"";"";"";"";"";"";"";"";"61";"08:40";"";"19";"";"";"60";"";"66";"Si";"Sólo lluvia";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2173";"https://sinobas.aemet.es/index.php?pag=detal&rep=2173";"egarciat";"AEMET";"2025-10-29";"11:10";"+/- 15 minutos";"2025-11-19";"Precipitación Súbita Torrencial";"Alta";"37.259";"-6.517";"70";"Huelva";"Almonte";"C. Alcalde Mojarro, 3A, 21730 Almonte, Huelva, España";"21730";"Durante la mañana del 29 de octubre de 2025 se estaba formando, al sur de Portugal, un Sistema Convectivo de Mesoscala que avanzaba hacia el este. La situación meteorológica (vaguada, con embolsamiento de aire frío en altura, una baja en superficie con frente cálido asociado, inestabilidad térmica y dinámica, y gran cizalladura vertical, sobre todo direccional) era muy favorable a la formación de células convectivas organizadas en la zona del Golfo de Cádiz. En las imágenes de satélite se aprecia el gran desarrollo de estas células, y en las de radar, una alta reflectividad, indicativo de la intensidad de las precipitaciones, que iban acompañadas de tormentas, como indicaban los registros de rayos. En Almonte comenzó a llover de madrugada, pero hacia las 11 h los chubascos se intensificaron, llegando a registrarse 78 mm en 3 horas, y 64 mm en 1 hora, con intensidades puntuales de precipitación de 120 mm/h, que produjeron numerosas inundaciones.";"Durante la mañana del 29 de octubre de 2025 se estaba formando, al sur de Portugal, un Sistema Convectivo de Mesoscala que avanzaba hacia el este. La situación meteorológica (vaguada, con embolsamiento de aire frío en altura, una baja en superficie con frente cálido asociado, inestabilidad térmica y dinámica, y gran cizalladura vertical, sobre todo direccional) era muy favorable a la formación de células convectivas organizadas en la zona del Golfo de Cádiz. El Sistema Convectivo de Mesoscala se iba realimentando a la vez que se desarrollaba y se desplazaba al este. En las imágenes de satélite se aprecia el gran desarrollo de estas células, y en las de radar, una alta reflectividad, indicativo de la intensidad de las precipitaciones, que iban acompañadas de tormentas, como indicaban los registros de rayos. En Almonte comenzó a llover de madrugada, pero hacia las 11 h los chubascos se intensificaron, llegando a registrarse 78 mm en 3 horas, y 64 mm en 1 hora, con intensidades puntuales de precipitación de 120 mm/h, que produjeron numerosas inundaciones.";"NO";"NO";"Inundaciones";"Inundaciones";"";"";"";"Información en los medios, Información en sitios webs, Fotos o videos del evento, Fotos o videos de los daños";"";"";"";"";"";"";"";"";"45 minutos";"";"";"";"";"";"";"";"";"";"";"";"";"78";"11:00";"";"20";"";"";"64";"";"105";"Si";"Sólo lluvia";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2174";"https://sinobas.aemet.es/index.php?pag=detal&rep=2174";"earamburu";"";"2025-11-21";"00:15";"+/- 1 minuto";"2025-11-21";"Granizada Singular";"Alta";"43.320";"-1.947";"44";"Gipuzkoa";"Donostia / San Sebastián";"Parada Baserria Kalea, 60, 20015 Donostia / San Sebastián, Gipuzkoa, España";"20015";"El fenómeno sucede en la estación 1024C de AEMET y alrededores";"Granizada singular no engelante, de granizo pequeño pero abundante, obstruyendo cañerías y apilándose encima de parabrisas de vehículos. Sucede tras la llegada de un pequeño núcleo, que se deduce ser un Cumulus Congestus, sin aparato eléctrico. Los hechos suceden durante la noche en la que llega una masa de aire polar ártica a -36ºC en 500hPa, 5.2º en superficie en el momento del evento";"NO";"NO";"";"";"";"";"";"Testigo del evento, Informe por un aficionado entrenado";"";"";"";"";"";"";"";"";"15 minutos";"";"";"";"";"";"";"";"Menor de 0,5";"Menor de 0,5";"SD";"2";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2175";"https://sinobas.aemet.es/index.php?pag=detal&rep=2175";"jprodriguezg";"";"2025-11-21";"08:00";"+/- 1 hora";"2025-11-24";"Tornado / Tromba Marina";"Alta";"39.763";"2.627";"0";"Illes Balears";"S'Empeltada";"QJ7G+5Q S'Empeltada, España";"07179";"";"Manga marina observada gracias a vídeos y fotografías";"NO";"NO";"";"";"";"";"";"Fotos o videos del evento";"Tromba Marina";"1";"";"SD";"SD";"";"Si";"1";"SD";"";"SD";"SD";"SD";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2176";"https://sinobas.aemet.es/index.php?pag=detal&rep=2176";"jprodriguezg";"";"2025-11-26";"09:15";"+/- 1 hora";"2025-11-27";"Granizada Singular";"Alta";"39.704";"3.439";"72";"Illes Balears";"Capdepera";"Carrer de sa Taulera, 14, 07580 Capdepera, Illes Balears, España";"07580";"";"Línea de tormentas que dejó una granizada que cubrió el municipio, acumulando varios centímetros de espesor.";"NO";"NO";"";"";"";"";"";"Información en los medios, Fotos o videos del evento";"";"";"";"";"";"";"";"";"60 minutos";"";"";"";"";"";"";"";"SD";"SD";"SD";"3";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2177";"https://sinobas.aemet.es/index.php?pag=detal&rep=2177";"jprodriguezg";"";"2025-11-25";"23:30";"+/- 3 horas";"2025-11-27";"Granizada Singular";"Alta";"39.702";"3.435";"100";"Illes Balears";"Capdepera";"Carrer del Migdia, 6, 07580 Capdepera, Illes Balears, España";"07580";"";"Línea de tormentas acompañadas de granizo con tamaños máximos de 3 cm aproximadamente";"NO";"NO";"";"";"";"";"";"Información en los medios, Fotos o videos del evento";"";"";"";"";"";"";"";"";"20 minutos";"";"";"";"";"";"";"";"Entre 3 y 4";"SD";"SD";"1";"SD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2178";"https://sinobas.aemet.es/index.php?pag=detal&rep=2178";"ProyectoMastral";"AMETSE";"2025-12-12";"14:00";"+/- 5 minutos";"2025-12-12";"Tuba";"Alta";"37.974";"-0.675";"0";"Alicante";"Torrevieja";"P.º Juan Aparicio, 10, 03182 Torrevieja, Alicante, España";"03182";"Tuba vista formándose frente a la costa de Torrevieja y Orihuela.";"Sobre las dos de la tarde y coincidiendo con la entrada de nubosidad y lluvias débiles, se vió formándose una tuba frente a la costa de Torrevieja y Orihuela. No llegó a tocar el agua.";"NO";"NO";"Ninguno";"Ninguno";"0";"0";"0";"Informado por un testigo del evento, Fotos o videos del evento";"";"1";"";"";"";"";"";"";"5 minutos";"Lluvia ligera o moderada";"";"";"";"";"30%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
